xl,xr,yl,yr,zl,zr
-0.943333333,-0.976666667,0.176666667,0.1475,0.141666667,-0.115
-0.945,-0.976666667,0.177222222,0.146111111,0.1425,-0.115
-0.946166667,-0.978333333,0.177833333,0.145833333,0.142666667,-0.114833333
-0.945833333,-0.97952381,0.177380952,0.145952381,0.14297619,-0.115238095
-0.946018519,-0.979444444,0.176574074,0.145833333,0.143240741,-0.11537037
-0.946060606,-0.978636364,0.176287879,0.145984848,0.143484848,-0.115378788
-0.946282051,-0.978653846,0.176089744,0.145961538,0.143782051,-0.11525641
-0.946277778,-0.978388889,0.175944444,0.145833333,0.143722222,-0.114944444
-0.945833333,-0.978578431,0.175931373,0.145490196,0.14377451,-0.114754902
-0.945833333,-0.979078947,0.176315789,0.145307018,0.14377193,-0.114868421
-0.946031746,-0.979484127,0.176309524,0.145039683,0.143769841,-0.115079365
-0.946195652,-0.979492754,0.17634058,0.144710145,0.143586957,-0.115253623
-0.9463,-0.979333333,0.1764,0.144666667,0.143333333,-0.115533333
-0.946203704,-0.979104938,0.176450617,0.144722222,0.143395062,-0.115401235
-0.946178161,-0.979022989,0.176465517,0.144741379,0.14362069,-0.115287356
-0.946182796,-0.979005376,0.176451613,0.144704301,0.143844086,-0.115134409
-0.945984848,-0.979141414,0.176414141,0.144823232,0.143964646,-0.115050505
-0.946,-0.979428571,0.176571429,0.144809524,0.143857143,-0.115166667
-0.946013514,-0.979684685,0.176531532,0.144864865,0.143738739,-0.115067568
-0.945918803,-0.97991453,0.176538462,0.144807692,0.143653846,-0.115106838
-0.945876068,-0.979957265,0.176495726,0.14482906,0.143611111,-0.115064103
-0.945790598,-0.980021368,0.176431624,0.144957265,0.143568376,-0.115
-0.945747863,-0.980064103,0.176388889,0.145042735,0.143568376,-0.115
-0.945705128,-0.980106838,0.176367521,0.145042735,0.143589744,-0.115064103
-0.945726496,-0.980106838,0.176346154,0.145021368,0.143589744,-0.115149573
-0.945833333,-0.980106838,0.176324786,0.145021368,0.143547009,-0.11508547
-0.945897436,-0.980192308,0.176303419,0.145106838,0.143525641,-0.114978632
-0.945961538,-0.98025641,0.176324786,0.145213675,0.143482906,-0.114978632
-0.946004274,-0.980299145,0.176410256,0.145235043,0.143354701,-0.114935897
-0.946068376,-0.980384615,0.176495726,0.145213675,0.143205128,-0.114850427
-0.946153846,-0.980576923,0.176517094,0.145235043,0.143141026,-0.114786325
-0.946153846,-0.980790598,0.176517094,0.145235043,0.143076923,-0.114700855
-0.946068376,-0.980876068,0.176538462,0.145299145,0.143012821,-0.114636752
-0.946025641,-0.980982906,0.176559829,0.145384615,0.142970085,-0.114615385
-0.946111111,-0.981111111,0.176581197,0.145448718,0.142863248,-0.114594017
-0.946217949,-0.981111111,0.176581197,0.145555556,0.14275641,-0.11457265
-0.946239316,-0.981089744,0.176495726,0.145705128,0.142735043,-0.114529915
-0.946303419,-0.981111111,0.176324786,0.145790598,0.142735043,-0.114465812
-0.946346154,-0.981004274,0.176175214,0.145854701,0.142713675,-0.114380342
-0.946388889,-0.980854701,0.176175214,0.145961538,0.142713675,-0.114337607
-0.946431624,-0.980790598,0.176217949,0.146089744,0.14275641,-0.114316239
-0.946388889,-0.980769231,0.176260684,0.146196581,0.142820513,-0.114337607
-0.946324786,-0.980769231,0.176260684,0.146260684,0.142905983,-0.114401709
-0.946346154,-0.980833333,0.176239316,0.146303419,0.143034188,-0.114358974
-0.946388889,-0.980982906,0.176196581,0.146367521,0.143162393,-0.114294872
-0.946474359,-0.981089744,0.176132479,0.146452991,0.143183761,-0.114358974
-0.946538462,-0.981089744,0.176068376,0.146495726,0.143076923,-0.114444444
-0.946602564,-0.981089744,0.176025641,0.146474359,0.142970085,-0.114529915
-0.946666667,-0.981068376,0.176025641,0.146388889,0.14284188,-0.11457265
-0.946688034,-0.980982906,0.176068376,0.146410256,0.142692308,-0.114636752
-0.946730769,-0.980876068,0.176089744,0.146517094,0.142542735,-0.114764957
-0.946880342,-0.980833333,0.176089744,0.146517094,0.14241453,-0.114935897
-0.946987179,-0.980854701,0.176025641,0.146517094,0.14232906,-0.115
-0.947051282,-0.980790598,0.175876068,0.146666667,0.142286325,-0.114978632
